ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-08-01,50313.009407385754,34049.78997744415,52735.787744653404,50313.009407385754,50313.009407385754,-6574.42453296046,-6574.42453296046,-6574.42453296046,-6574.42453296046,-6574.42453296046,-6574.42453296046,0.0,0.0,0.0,43738.584874425294
2017-09-01,51040.472191546585,65918.65468160399,85962.24774280147,51040.472191546585,51040.472191546585,25187.496128688177,25187.496128688177,25187.496128688177,25187.496128688177,25187.496128688177,25187.496128688177,0.0,0.0,0.0,76227.96832023477
2017-10-01,51744.46843428287,44995.10525119077,63453.56999744099,51744.46843428287,51744.46843428287,2027.0297791539226,2027.0297791539226,2027.0297791539226,2027.0297791539226,2027.0297791539226,2027.0297791539226,0.0,0.0,0.0,53771.49821343679
2017-11-01,52472.25353586585,80671.89584185468,98913.70668784426,52472.25353586585,52472.25353586585,37359.19973214452,37359.19973214452,37359.19973214452,37359.19973214452,37359.19973214452,37359.19973214452,0.0,0.0,0.0,89831.45326801037
2017-12-01,53176.59986792289,77252.21610866817,96099.46016758893,53176.59986792289,53176.59986792289,32998.57158807283,32998.57158807283,32998.57158807283,32998.57158807283,32998.57158807283,32998.57158807283,0.0,0.0,0.0,86175.17145599572
2018-01-01,53904.42441104849,25455.429475178353,43881.794043840004,53904.42441104849,53904.42441104849,-19332.468186580245,-19332.468186580245,-19332.468186580245,-19332.468186580245,-19332.468186580245,-19332.468186580245,0.0,0.0,0.0,34571.956224468246
2018-02-01,54632.24895562292,17381.56321657338,35520.987938305276,54632.24895562292,54632.24895562292,-28045.307796005793,-28045.307796005793,-28045.307796005793,-28045.307796005793,-28045.307796005793,-28045.307796005793,0.0,0.0,0.0,26586.941159617127
2018-03-01,55289.68364266581,55106.76495477678,73499.34794192025,55289.68364266581,55289.68364266581,8930.49083886913,8930.49083886913,8930.49083886913,8930.49083886913,8930.49083886913,8930.49083886913,0.0,0.0,0.0,64220.17448153494
2018-04-01,56017.55776046329,34373.74646999906,53488.497765966255,56017.55776046329,56017.55776046329,-11955.63937337195,-11955.63937337195,-11955.63937337195,-11955.63937337195,-11955.63937337195,-11955.63937337195,0.0,0.0,0.0,44061.91838709134
2018-05-01,56721.95206800925,38286.00203278136,56468.20278617005,56721.95206800925,56721.95206800925,-9000.654282842937,-9000.654282842937,-9000.654282842937,-9000.654282842937,-9000.654282842937,-9000.654282842937,0.0,0.0,0.0,47721.29778516631
2018-06-01,57449.826185806734,39643.770731561475,58573.708345004445,57449.826185806734,57449.826185806734,-8485.08840461286,-8485.08840461286,-8485.08840461286,-8485.08840461286,-8485.08840461286,-8485.08840461286,0.0,0.0,0.0,48964.73778119388
2018-07-01,58154.22049335269,37895.73397478837,56840.58846494315,58154.22049335269,58154.22049335269,-10363.553260823199,-10363.553260823199,-10363.553260823199,-10363.553260823199,-10363.553260823199,-10363.553260823199,0.0,0.0,0.0,47790.66723252949
2018-08-01,58882.09461115017,40200.4559167547,59458.81607345316,58882.09461115017,58882.09461115017,-9140.42741789493,-9140.42741789493,-9140.42741789493,-9140.42741789493,-9140.42741789493,-9140.42741789493,0.0,0.0,0.0,49741.66719325524
2018-09-01,59609.96872894765,78349.43172025158,97980.04969642253,59609.96872894765,59609.96872894765,29366.068031380815,29366.068031380815,29366.068031380815,29366.068031380815,29366.068031380815,29366.068031380815,0.0,0.0,0.0,88976.03676032847
2018-10-01,60314.3630364936,51821.19809700581,70724.51580245867,60314.3630364936,60314.3630364936,1131.9289876907076,1131.9289876907076,1131.9289876907076,1131.9289876907076,1131.9289876907076,1131.9289876907076,0.0,0.0,0.0,61446.29202418431
2018-11-01,61042.23715429108,91347.64378059881,110444.99531131075,61042.23715429108,61042.23715429108,39874.651600694524,39874.651600694524,39874.651600694524,39874.651600694524,39874.651600694524,39874.651600694524,0.0,0.0,0.0,100916.8887549856
2018-12-01,61746.63146183703,80969.14508708792,99463.42568004978,61746.63146183703,61746.63146183703,28581.543989804682,28581.543989804682,28581.543989804682,28581.543989804682,28581.543989804682,28581.543989804682,0.0,0.0,0.0,90328.17545164171
2018-12-31,62451.025769382984,32046.339034389253,50348.31945007379,62445.25025336317,62456.12838885558,-21534.812450723497,-21534.812450723497,-21534.812450723497,-21534.812450723497,-21534.812450723497,-21534.812450723497,0.0,0.0,0.0,40916.21331865949
2019-01-31,63178.899887180465,17353.702629272764,35860.00977566002,63159.321560489945,63195.42969116517,-35955.42105778133,-35955.42105778133,-35955.42105778133,-35955.42105778133,-35955.42105778133,-35955.42105778133,0.0,0.0,0.0,27223.478829399137
2019-02-28,63836.334574223365,100276.08006418191,119241.22031891879,63798.175617571294,63869.230626727476,45763.43354317095,45763.43354317095,45763.43354317095,45763.43354317095,45763.43354317095,45763.43354317095,0.0,0.0,0.0,109599.76811739431
2019-03-31,64564.20869202084,29114.434432136593,46769.55525483197,64501.80504577549,64619.20359699822,-26804.275224172638,-26804.275224172638,-26804.275224172638,-26804.275224172638,-26804.275224172638,-26804.275224172638,0.0,0.0,0.0,37759.9334678482
2019-04-30,65268.60299956679,27116.370621233196,45765.33075844589,65181.78311640178,65348.713979528475,-29350.101336976146,-29350.101336976146,-29350.101336976146,-29350.101336976146,-29350.101336976146,-29350.101336976146,0.0,0.0,0.0,35918.50166259064
2019-05-31,65996.47711736427,59734.87887544427,79062.57509153198,65882.93575667756,66105.78470088763,3057.1585481302714,3057.1585481302714,3057.1585481302714,3057.1585481302714,3057.1585481302714,3057.1585481302714,0.0,0.0,0.0,69053.63566549454
2019-06-30,66700.87142491022,45706.998486377255,64228.36215417425,66554.99283228203,66838.99636585519,-12530.98999798452,-12530.98999798452,-12530.98999798452,-12530.98999798452,-12530.98999798452,-12530.98999798452,0.0,0.0,0.0,54169.8814269257
2019-07-31,67428.74554270772,37867.95666315916,56012.59636659789,67246.04619133717,67602.18433473527,-20863.183512631505,-20863.183512631505,-20863.183512631505,-20863.183512631505,-20863.183512631505,-20863.183512631505,0.0,0.0,0.0,46565.56203007622
2019-08-31,68156.6196605052,109526.6455740632,128310.74182346018,67935.16485347346,68360.62545157463,50473.23097598393,50473.23097598393,50473.23097598393,50473.23097598393,50473.23097598393,50473.23097598393,0.0,0.0,0.0,118629.85063648914
2019-09-30,68861.01396805115,56011.30522081465,74122.03335313378,68597.34128815364,69092.35016129276,-3798.7190718928173,-3798.7190718928173,-3798.7190718928173,-3798.7190718928173,-3798.7190718928173,-3798.7190718928173,0.0,0.0,0.0,65062.29489615833
2019-10-31,69588.88808584862,111182.91995257484,130048.6204493654,69279.76485024324,69852.41086879143,51169.90284312922,51169.90284312922,51169.90284312922,51169.90284312922,51169.90284312922,51169.90284312922,0.0,0.0,0.0,120758.79092897783
2019-11-30,70293.28239339458,66801.69815050764,85841.60136574954,69935.06049420261,70601.67792772152,5931.013013951478,5931.013013951478,5931.013013951478,5931.013013951478,5931.013013951478,5931.013013951478,0.0,0.0,0.0,76224.29540734606
